NrId,DistrictId,Property_Name,Other_Name,CountyId,AtlasIndex,Keywords,Longitude,Latitude,County,Address,City,Date_Listed,Reference_Number,Multiple_Property_Name,Date_To_SBR,Vicinity,Status,StatusL,Date_Removed,Notes,Date_To_Nps,Date_Notified,Local_Sig,State_Sig,National_Sig,Atlas_Number,Significance,Criteria,Style,Period,Resource_type,ResourceL,Architect,District,MpsId,NpsId,HasFiles,HasImages,HasMapLocation
1657,25,"Archeological Site No. 41HZ296 ",,115,2000000000001657,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002039,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002039,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1658,25,"Archeological Site No. 41HZ297 ",,115,2000000000001658,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002040,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002040,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1659,25,"Archeological Site No. 41HZ298 ",,115,2000000000001659,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002041,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002041,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1660,25,Archeological Site No. 41HZ299 ,,115,2000000000001660,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002042,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002042,"Archeology - Historic Non-Aboriginal, Exploration/Settlement",D (information potential/archeology,None Listed,"1900-1924, 1875-1899, 1925-1949",S,"Site      ",Unknown,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1661,25,"Archeological Site No. 41HZ300 ",,115,2000000000001661,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002043,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002043,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1662,25,"Archeological Site No. 41HZ301 ",,115,2000000000001662,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002044,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002044,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1663,25,"Archeological Site No. 41HZ302 ",,115,2000000000001663,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002045,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002045,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1664,25,"Archeological Site No. 41HZ303 ",,115,2000000000001664,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002046,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002046,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1665,25,"Archeological Site No. 41HZ304-305 ",,115,2000000000001665,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002047,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002047,"Archeology - Prehistoric, Archeology - Historic Non-Aboriginal, Exploration/Settlement",D (information potential/archeology,None Listed,"1900-1924, 1875-1899, 1925-1949",S,"Site      ",Unknown,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1666,25,"Archeological Site No. 41HZ306 ",,115,2000000000001666,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002048,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002048,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1667,25,"Archeological Site No. 41HZ307 ",,115,2000000000001667,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002049,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002049,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1668,25,"Archeological Site No. 41HZ308 ",,115,2000000000001668,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002050,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002050,Archeology - Historic Non-Aboriginal,D (information potential/archeology,None Listed,"1900-1924, 1875-1899, 1925-1949",S,"Site      ",Unknown,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1669,25,"Archeological Site No. 41HZ309 ",,115,2000000000001669,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002051,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002051,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1670,25,"Archeological Site No. 41HZ311 ",,115,2000000000001670,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002052,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002052,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,True,False
1671,25,"Archeological Site No. 41HZ312 ",,115,2000000000001671,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002053,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002053,"Archeology - Historic Non-Aboriginal, Exploration/Settlement",D (information potential/archeology,None Listed,"1900-1924, 1875-1899, 1925-1949",S,"Site      ",Unknown,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,True,False
1672,25,"Archeological Site No. 41HZ313 ",,115,2000000000001672,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002054,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002054,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1673,25,"Archeological Site No. 41HZ339 ",,115,2000000000001673,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002055,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002055,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
1674,25,"Archeological Site No. 41HZ340 ",,115,2000000000001674,,,,Hudspeth,Address Restricted,Sierra Blanca,01/11/1991 00:00:00,90002056,Archeological and Historic Resources of the Indian Hot Springs Area,,False,1,Listed,,,,,False,True,False,2090002056,Archeology - Prehistoric,D (information potential/archeology,,,S,"Site      ",,Archeological and Historic Resources of the Indian Hot Springs Area,25,64500642,False,False,False
